Pincode,Lat,Lon
560066,12.9668493,77.7516428
560094,13.0398962,77.5730973
560077,13.0608063,77.6548332
560097,13.0778781,77.5569036
560061,12.9041641,77.539949
560024,13.0414384,77.5972008
560062,12.8648069,77.4963491
560099,12.839842,77.7242679
560091,12.9947022,77.4849282
560076,12.8826231,77.6040475
560037,12.9623272,77.6972859
560098,12.9147147,77.5159128
560056,12.9506662,77.5019369
560100,12.8502428,77.6545244
560043,13.0223768,77.6439649
560035,12.8979301,77.7009299
560084,13.0122764,77.628151
560060,12.9047713,77.4669074
560082,12.8243154,77.4597215
560103,12.9170541,77.6723963
560075,12.9709184,77.6566485
560018,12.9585819,77.5648455
560068,12.8986856,77.6365787
560048,12.9890485,77.7067315
560017,12.9548112,77.6606378
600127,12.8425143,80.1464738
600010,13.0810175,80.2377158
600131,1.3080457,103.8517708
600130,12.8463302,80.2216136
600004,13.0380848,80.2652648
600028,13.0254663,80.2619427
600100,12.9228086,80.1970034
600116,13.0326734,80.160481
600034,13.0579465,80.2430265
600122,13.0144135,80.1325044
600041,12.9786978,80.257601
600044,12.9540028,80.1391189
600017,13.0425202,80.2347075
600056,13.0581602,80.1210975
600031,12.9540142,80.1846608
600078,13.0401734,80.1997398
600085,13.0191142,80.2439829
600125,13.0204448,80.1641325
600006,13.062936,80.2491169
600107,13.0643241,80.2029863
600093,13.0511863,80.2000917
600015,13.0211752,80.2215594
600094,13.0633349,80.2241989
600095,13.0612736,80.1666119
122002,28.466319,77.0888668
201304,28.52773,77.389534
122017,28.5133823,77.0422095
122001,28.4685549,77.0377954
122018,28.420874,77.051652
201301,28.5460157,77.387915
121009,28.4929124,77.2947499
110065,28.5673962,77.2480395
110075,28.5922297,77.0579665
110021,28.5930284,77.1810738
110092,28.625889,77.3188369
110064,28.626587,77.1129487
110007,28.6835175,77.2051385
122006,28.4796796,76.9995239
110091,28.6090602,77.2977622
201010,28.6498708,77.3573202
110070,28.5218591,77.1596947
110014,28.5800691,77.2527603
500091,17.3645745,78.3883941
500032,17.4402974,78.3529317
500050,17.4959671,78.3328833
500019,17.4769805,78.3153868
500046,17.4567372,78.3323717
500075,17.3901903,78.3311351
500085,17.4960773,78.3882685
500084,17.4627764,78.3615618
500018,17.4568098,78.4329568
502032,17.5084132,78.3029556
500010,17.8312516,79.0460676
500087,17.5097428,78.5529835
500072,17.4906526,78.4009566
500008,17.3696545,78.3541557
500011,17.4686516,78.4756563
500049,17.4992824,78.3568939
500090,17.5316464,78.379719
500056,17.4782567,78.5347433
500033,17.4310775,78.4057029
502030,,
500030,17.3239389,78.4053136
500081,17.4479796,78.3827498
500077,17.3027921,78.4397697
500089,17.3947984,78.3707255
500014,17.5438935,78.4718206
500034,17.4190321,78.4427984
500083,17.4928147,78.6041317
500068,17.3552968,78.5690873
500043,17.553259,78.4345832
500086,17.3461402,78.3823526
500058,17.28785,78.3603622
500067,17.4858187,78.4717489
500052,17.3475631,78.426629
500094,17.4934689,78.5450732
500079,17.3384082,78.5312535
700027,22.5297349,88.3309841
700107,22.5150953,88.3984761
700019,22.5286536,88.36495
700064,22.5956184,88.4103457
700053,22.5082726,88.332906
700025,22.5317135,88.3469093
700026,22.5202003,88.3484095
700135,22.5992772,88.506393
700033,22.5077493,88.3487081
700015,22.5585699,88.3814411
700054,22.5818484,88.3915601
700034,22.4961815,88.3171176
700084,22.46536,88.3814548
700156,22.5645786,88.4903991
700045,22.5031563,88.3592917
700063,22.4653861,88.309746
700094,22.476241,88.3961825
700089,22.6040117,88.4014279
700080,22.6272028,88.4201219
700017,22.5428637,88.3627528
741246,22.9583839,88.52561
700005,22.6188806,88.399662
700104,22.4543587,88.3075852
700006,22.5890207,88.3699896
700124,22.7159946,88.4919563
711403,22.6049886,88.2746188
700042,22.5205175,88.3752402
700029,22.5178471,88.3585455
700046,22.5425473,88.3835828
700055,22.7574136,88.0011436
700010,22.5656264,88.3948914
700095,22.4944516,88.3601045
700136,22.6342881,88.4513601
700052,22.6349273,88.4286577
700140,22.5019831,88.2254078
711302,22.5811531,88.2027507
700074,22.6227342,88.4048265
700047,22.4738256,88.3681588
711102,22.5670144,88.3222997
743144,22.8034096,88.3736027
400101,19.2050261,72.870113
400614,19.0277561,73.0356307
410206,18.9938878,73.1146376
400028,19.0190756,72.8366254
400063,19.168105,72.8605038
400706,19.0233708,73.0161595
400016,19.0353785,72.8427291
400080,19.1755402,72.9514312
400022,19.0416811,72.8651487
410210,19.0467994,73.0694143
410218,19.031784,73.0994121
400014,19.0184951,72.8502421
400042,19.1344882,72.9369843
400071,19.1043016,72.9059229
400086,19.0878917,72.904025
400701,19.1230934,73.0030507
400075,19.0861563,72.9133509
400074,19.034659,72.8930381
400012,19.0731299,72.9144852
400070,19.079091,72.883052
400037,19.0260087,72.8684164
400076,19.122641,72.9126071
400703,19.0773953,73.0034115
400104,19.159738,72.8415509
410209,19.2427961,73.1728375
400089,19.0599043,72.8996003
400081,19.1717693,72.9618554
400024,19.0620078,72.8818334
