City,Community,Pincode,Impact_2024-04,Impact_2024-05,Impact_2024-06,Impact_2024-07,Impact_2024-08,Impact_2024-09,Impact_2024-10,Impact_2024-11,Impact_2024-12,Impact_2025-01,Impact_2025-02,Impact_2025-03,Tonnage_2024-04,Tonnage_2024-05,Tonnage_2024-06,Tonnage_2024-07,Tonnage_2024-08,Tonnage_2024-09,Tonnage_2024-10,Tonnage_2024-11,Tonnage_2024-12,Tonnage_2025-01,Tonnage_2025-02,Tonnage_2025-03,CO2_Kgs_Averted_2024-04,CO2_Kgs_Averted_2024-05,CO2_Kgs_Averted_2024-06,CO2_Kgs_Averted_2024-07,CO2_Kgs_Averted_2024-08,CO2_Kgs_Averted_2024-09,CO2_Kgs_Averted_2024-10,CO2_Kgs_Averted_2024-11,CO2_Kgs_Averted_2024-12,CO2_Kgs_Averted_2025-01,CO2_Kgs_Averted_2025-02,CO2_Kgs_Averted_2025-03,Households_Participating_2024-04,Households_Participating_2024-05,Households_Participating_2024-06,Households_Participating_2024-07,Households_Participating_2024-08,Households_Participating_2024-09,Households_Participating_2024-10,Households_Participating_2024-11,Households_Participating_2024-12,Households_Participating_2025-01,Households_Participating_2025-02,Households_Participating_2025-03,Segregation_Compliance_Pct_2024-04,Segregation_Compliance_Pct_2024-05,Segregation_Compliance_Pct_2024-06,Segregation_Compliance_Pct_2024-07,Segregation_Compliance_Pct_2024-08,Segregation_Compliance_Pct_2024-09,Segregation_Compliance_Pct_2024-10,Segregation_Compliance_Pct_2024-11,Segregation_Compliance_Pct_2024-12,Segregation_Compliance_Pct_2025-01,Segregation_Compliance_Pct_2025-02,Segregation_Compliance_Pct_2025-03
Bangalore,C0012,560066,4566,5169,3537,6283,9249,6200,1087,8728,2156,7732,7046,4273,42.14881144,30.80886591,46.01383245,75.50864004,64.08708797,13.20332608,65.03136401,39.13856779,34.91044448,22.68286301,43.0559653,24.86777921,4879.21243,3201.77724,755.9651096,4416.32156,1025.544569,1623.704572,999.901993,4652.899674,3403.838308,1360.935876,578.8759341,2717.553556,495,164,287,458,293,44,467,361,156,262,118,262,62.18162578,67.86177628,63.97394426,81.75397428,84.53458305,85.6390249,58.73995814,85.13668401,82.19072319,55.82709301,92.54205123,64.51485801
Bangalore,C0013,560094,2384,7475,6610,1578,1815,1564,1163,2370,9001,2595,1574,5760,51.19046603,62.27786561,22.8951815,12.63821538,26.96686983,33.10400334,67.94432623,18.77565559,44.90383521,71.76355565,71.20278824,56.05414746,4013.122747,2695.319696,3996.195098,782.6856908,4465.788398,2083.747544,1802.625896,4846.589568,3537.670531,2062.669429,4887.017688,3967.308309,171,331,106,485,308,91,44,109,257,467,454,410,64.83740468,63.22948172,86.0514566,76.8640019,80.90572079,93.35989168,51.98552615,55.35007838,50.31735925,93.92822618,90.32739687,70.95887728
Bangalore,C0014,560077,1165,7025,3930,6694,4230,4597,8149,3165,7919,8444,4785,8943,62.60081476,63.43118811,65.41423342,20.96304855,91.91335666,88.94718681,86.19196727,65.69149347,72.28053164,61.7205165,29.73899269,66.65583851,1127.209646,3391.148004,3482.415494,2408.745051,1480.045772,3366.533667,808.410842,1987.424647,3174.984641,3555.055666,1764.904001,2602.104382,221,464,456,235,173,453,132,209,106,204,372,168,59.71707414,75.52626863,89.58567202,96.19913515,83.87407947,52.94392591,62.89202737,86.8460867,91.48230491,77.60271136,74.731328,86.30066041
Bangalore,C0015,560097,9899,3032,3488,8121,6239,1597,6801,7664,3708,1074,8248,6321,22.74667784,49.14820692,88.44622543,84.68959601,80.20184134,41.85285112,94.06909539,37.57237114,33.48142866,45.33568194,66.21437151,72.95718317,4117.573188,4167.61487,3116.921123,4897.87113,4460.402774,1672.41253,1428.166301,1335.556472,3011.329785,1084.641206,4593.466604,2841.578179,244,225,479,254,108,157,132,385,153,86,174,231,54.76004759,57.1691636,55.51677032,62.44829766,81.4254241,86.24481317,76.26324886,84.92675075,76.67462176,84.44176751,55.68199063,98.39529831
Bangalore,C0016,560061,6817,5538,8435,7575,6650,6413,7088,7252,4515,2544,3356,5165,31.96026875,27.3031474,62.59904966,55.65200112,87.72500984,57.97462602,11.02323151,62.18480747,14.74708356,31.10511132,61.73303613,32.17885407,4361.820263,2899.250303,4913.526085,4465.024284,1901.565011,3043.041979,1427.869561,3635.141091,4155.516144,1664.640792,2629.324276,2166.384349,414,94,35,464,131,476,453,61,394,387,466,415,99.28606518,89.65838013,73.80196496,56.53145234,99.63991573,56.7720479,88.86919387,56.20382841,65.44184082,98.85666176,80.99612606,51.31275583
Bangalore,C0017,560024,3786,8327,9747,2000,1092,2308,7942,3847,9966,8856,5551,1618,77.38771393,69.35899658,51.35909939,97.99526626,35.74441528,63.367241,60.66451591,90.39011079,12.07051222,15.82114169,11.13049745,14.23061416,2698.037093,1620.693076,552.7106601,4359.355461,4457.256422,2161.893719,3184.409851,4030.672861,3357.792556,1513.518386,2700.95392,2397.566074,298,392,155,495,54,72,367,16,145,99,161,150,65.21526852,78.76963591,71.83898021,74.20527793,84.55851978,76.10030002,63.87881513,74.427397,70.44977398,87.4988196,88.81122281,66.94900956
Bangalore,C0018,560024,2188,1769,5909,9153,7225,7261,3020,8981,8317,5540,8287,7332,49.2493092,26.42563847,26.0538651,57.18249444,16.92235632,45.44706888,22.86750757,69.29531687,69.5388381,44.26560518,54.51478305,10.67030566,3023.000748,3066.583506,772.5820089,3402.348216,621.7566959,3199.075886,4331.846764,1407.530687,3475.224072,2991.973657,3264.673706,3871.61145,18,363,314,340,434,84,69,32,76,498,18,345,68.78932309,64.735075,59.26652071,52.47859875,60.04075994,78.61369584,89.57865259,68.3398745,61.12017513,90.50643942,94.02871447,77.42160514
Bangalore,C0019,560066,4568,4960,3519,1590,6482,6827,9677,2827,4296,8413,2674,9946,42.32480002,91.04163091,82.38994548,83.27521985,33.19513936,54.52631515,87.87057029,37.92663659,29.21953951,68.33731291,42.1446472,27.92449045,4467.726596,3165.974623,3005.989521,2254.544683,4992.1286,2680.476594,598.0754026,885.0875879,755.6550562,4963.467204,2381.823816,4715.718605,19,71,107,350,381,213,232,114,57,79,271,363,72.80063371,74.71321012,91.09124675,75.61413968,85.11292439,75.16162508,57.66186133,55.77362625,53.60839383,92.19073414,85.42704582,77.16084484
Bangalore,C0020,560062,9246,7221,2248,2725,3616,7141,7921,4924,5822,7932,5524,2028,36.37591288,66.87763645,49.4111266,72.86387852,14.25400772,12.27288895,85.12784293,13.39168445,81.51892637,15.55188929,38.26995012,29.69797546,1383.856609,4055.557741,2222.375673,772.4473353,3052.505104,2936.222332,835.8702024,2616.020554,3270.695401,1494.100001,1974.820764,4285.858613,446,389,247,290,281,438,304,138,29,21,452,40,98.17006935,70.78119776,98.58080868,59.82700363,59.15909606,81.10834986,87.49668238,54.35848285,61.10009522,90.97253291,80.41852218,59.96606824
Bangalore,C0021,560099,2421,2489,2682,6935,4685,1006,9283,8602,3299,8907,8646,6262,81.53385119,25.33186231,47.90171515,85.13346352,40.27246785,24.0326589,93.88574804,12.18665272,63.71643554,49.66140887,37.75386561,16.42525046,4422.000898,642.4385657,4965.140985,1103.390473,3446.22839,2065.63055,4416.380389,4104.025503,4277.06554,3979.594233,4458.963469,2486.23394,444,67,245,179,325,380,220,85,104,243,26,25,90.57756392,90.44191592,56.06720516,98.38844474,50.7889506,82.69512004,86.10384857,89.69788345,71.50919263,52.34683988,61.02763382,59.81163684
Bangalore,C0022,560091,7553,9943,9349,7234,4231,7979,9257,9019,7715,6369,5166,4920,97.1514842,74.66340087,27.80040098,15.62010346,16.02297536,32.35481451,42.74535289,15.6081549,63.05777676,47.83512525,93.69739239,33.99665459,4907.726661,3993.683494,848.5710678,2372.599643,2673.778964,872.4247522,927.0085975,2663.029315,1533.836245,3570.007456,4891.638561,2866.572378,206,82,344,456,319,303,394,143,308,365,225,117,59.36298327,53.2022656,98.4330503,90.29244756,50.26255372,56.72853263,62.50788093,72.02799172,59.97589524,51.73283412,67.79595036,89.04596541
Bangalore,C0023,560076,7009,3236,7621,5926,4999,8360,6840,4025,9305,6379,4249,9723,90.56908044,79.20162765,64.37390737,74.05077296,32.22782139,78.16583396,79.16450158,92.53508789,27.72705893,98.33476383,55.75343488,18.73838119,4212.273673,3931.363398,3142.078054,4271.49673,514.053391,4394.566756,1639.87522,1618.957895,3246.836777,1847.11674,2677.03544,844.7119152,22,440,15,424,159,48,244,286,434,296,251,405,63.46952745,61.32752983,77.80568432,63.53528921,99.74911558,86.14202178,81.42245081,50.57742509,85.04958773,63.16432464,97.91439795,91.40095309
Bangalore,C0024,560037,2615,4823,3442,1081,6557,9928,3705,7231,5222,9673,9361,5162,68.50480666,83.12948628,58.43412555,57.92421049,29.8248153,48.16261455,25.31645722,20.38791048,98.99593246,69.84706254,64.80857629,31.01866585,1468.855257,3458.171109,2905.36274,1205.066479,1329.341343,959.2553991,2344.347144,3846.755873,3523.168376,881.1359815,3888.491669,3826.921982,20,445,157,25,45,266,367,280,355,440,341,212,99.7030593,76.91893655,91.18768055,84.53242933,88.19448925,54.95733758,60.21605657,89.76752147,82.63353491,76.16527928,71.52320214,56.54971369
Bangalore,C0025,560098,3260,5401,5056,2535,9145,8876,5079,7011,8825,5548,5245,1654,36.41964555,62.74342789,71.93456796,63.00854446,66.55309533,94.59635348,30.17910064,57.73659024,33.59147164,48.62541212,11.94762141,54.35620417,1647.358714,3351.969689,1301.704992,3373.786271,3676.064364,1541.79113,1318.14086,3271.826445,1034.202604,2005.353938,4302.650976,1392.965953,390,487,371,57,396,443,138,459,220,22,69,26,72.24126103,77.75314119,75.77523151,84.81967842,58.26597042,53.21623089,70.78217444,59.69552354,82.69949059,54.11419429,63.98640428,64.04386828
Bangalore,C0026,560056,2511,9602,8767,3715,5801,5148,8887,9429,6282,9795,1969,4373,65.80932262,78.81087746,68.08542462,59.03580734,36.88651062,74.36810238,41.94570405,49.51247871,75.96688896,12.9505077,33.91989248,88.93142594,2952.40639,2641.161585,4010.025788,4835.499083,3706.20756,1639.414804,624.8449171,3214.312748,3687.221498,4535.186619,1809.929148,2266.986544,108,44,207,169,338,252,261,347,396,364,184,19,68.26895454,55.33175969,67.20419984,81.07941746,95.24736037,82.10336765,85.57550192,75.55810479,69.5898503,64.59825355,76.63905823,55.9292122
Bangalore,C0027,560100,9729,5071,4121,5749,4940,6662,3657,7354,5229,2709,4473,4468,16.63063031,35.88691004,64.32198073,99.46677579,85.20946235,42.78866484,38.45221249,76.23961558,89.93256821,47.9390793,26.93107381,93.97697989,4237.059537,2940.998613,2094.639666,1396.767081,3629.71573,4001.199793,1043.784785,3292.042899,4404.772528,4576.258356,2348.356994,914.8068682,108,27,240,425,305,430,365,38,411,375,337,269,88.83405576,62.50402295,72.7393517,90.45614756,75.52031422,83.25597228,65.33960652,93.69388911,98.52242354,76.42114168,90.66105604,88.12774251
Bangalore,C0028,560043,4769,3386,4590,1190,5351,4938,2409,8411,4883,5513,3766,1243,48.03206086,44.41375624,37.32656811,37.92174154,53.36431431,13.20510048,10.19096901,24.20510939,56.42353451,40.46766595,32.40483159,22.60629832,4149.58827,3717.795028,3863.528873,720.5169899,2754.869617,2167.497344,4433.34104,1491.777841,1629.680971,4963.474403,1302.362965,4350.836283,209,146,235,17,482,474,279,243,94,34,68,44,69.28682544,54.96082983,65.05214541,82.45258885,72.74003194,55.39836237,71.02767375,51.71566818,61.05254717,64.28924004,70.86383358,86.55271694
Bangalore,C0029,560066,7671,5674,2503,2332,7612,2993,5824,9911,7353,4134,1023,2370,53.75098929,38.05366159,42.5388751,26.37673752,40.56364365,89.33361678,30.89387406,62.26606066,84.88357044,24.27944175,71.72691765,99.4850626,4583.431914,3696.196356,779.1765518,1026.667741,1596.209161,782.1259816,2941.818406,3501.724861,533.3305053,3206.28337,4383.653004,819.0148104,12,351,496,74,102,483,449,224,158,11,310,424,58.28873862,75.12115923,68.58747966,73.20128449,60.49396299,93.73962059,50.40713791,58.75318463,67.03344529,67.95786132,59.0743321,80.31131367
Bangalore,C0030,560035,5467,7799,9711,7398,9106,9259,8466,8631,5300,4110,9681,9933,45.93352512,80.07103573,82.98909185,36.45888651,10.9592687,65.37858492,48.38617424,60.79587865,49.75764414,63.38609646,18.79168715,99.68251553,1046.21951,1469.120011,4380.985585,3897.358625,4166.053459,2386.163972,4963.46202,3582.557808,4674.635991,4833.065691,4935.536108,2773.171705,464,237,377,207,135,320,401,168,81,136,50,318,84.40140504,55.26614131,66.34066808,95.55025176,70.56346253,70.38079168,59.77985805,95.22574922,74.56529854,76.49980996,92.5716158,95.95650061
Bangalore,C0031,560084,5464,7765,8934,2150,3170,2288,4239,9025,8488,6119,5779,2193,34.3459585,29.82099145,68.33920787,11.45775264,56.95112958,94.92760127,30.7962781,94.40643245,88.95364925,86.49296399,80.68506208,57.63719056,1690.705102,4803.583252,2231.421504,2629.49453,3246.686186,3742.713028,4780.638919,721.5585997,4089.27215,2148.676653,1350.007997,760.6609894,159,387,105,78,341,496,294,138,202,470,157,24,65.81939103,95.72694483,76.20415564,83.73083832,63.20517711,99.53019643,72.472587,92.01377118,55.22175092,84.04803195,94.65939805,59.63480564
Bangalore,C0032,560060,7007,6396,8779,5250,8749,1478,6639,6908,2692,5104,6628,8975,71.43392753,66.20811497,46.64412351,73.38947205,15.58627808,63.45748983,78.61959977,38.40936337,64.88838744,84.65240313,95.94133385,46.27438692,1564.570627,880.6881859,2633.47259,1607.984001,2405.219697,4689.40395,3277.747901,4704.119743,3284.498135,4697.526449,4640.821392,2930.79342,116,210,438,163,401,283,85,269,383,182,308,41,82.48080497,99.15927226,76.78736463,51.55602315,94.57408214,56.25465708,59.22219563,96.18468767,72.45926319,60.49388753,91.76763566,54.77529459
Bangalore,C0033,560082,8460,8853,9305,9541,5080,9215,9533,7663,1277,9045,5980,6383,47.61304229,40.1394617,76.22170219,48.54356653,66.70499028,32.56968927,44.27991658,26.2199968,15.06991474,69.90434224,20.20806365,96.79310446,3583.766851,3405.179168,3759.934436,2460.273982,4838.96231,1764.794555,2234.798007,964.0477262,4225.960262,3379.699685,4115.211769,513.3920601,412,259,199,313,275,83,290,249,132,109,256,229,62.86937678,70.44623647,69.26290601,54.00968688,74.8831333,64.58368734,55.35782529,67.18060175,51.96699888,84.00935312,91.37645868,62.50235922
Bangalore,C0034,560062,3143,8391,9882,3900,3502,5412,3666,6904,4899,8344,3704,9391,95.24169616,58.29298679,49.36695979,35.41022368,29.08292084,38.88919473,96.19469817,44.47173369,85.50775323,96.77821747,58.88336499,58.31491868,1040.352894,1346.268815,3072.538894,4084.658018,4261.558206,2271.329505,2516.638378,942.8154485,3594.108101,3751.664815,2043.146115,3542.251914,263,186,280,475,105,333,41,287,278,57,123,304,73.65910283,97.18340345,50.68507056,62.25675321,82.22706411,54.6064761,52.45182261,52.34319005,52.33870374,87.04088825,83.34309346,82.72176242
Bangalore,C0035,560103,8361,1813,9971,5154,2297,2966,2530,7080,9089,7086,2771,7659,45.51268654,75.80089211,98.93708607,29.7879849,37.23962551,19.2728297,21.9802381,17.32528808,93.18689909,68.58219514,38.34811159,90.33502913,1755.702405,629.9469042,3912.69674,967.7447649,4791.978944,2318.992173,3885.389216,1160.741599,1537.117808,4581.339067,4632.33557,3822.471842,149,321,31,387,89,294,469,234,387,195,324,201,58.75313013,57.25515592,68.11183003,53.70988967,87.1528371,83.50282909,94.87256256,51.96176678,97.61227643,65.45984707,68.72979828,64.09957428
